"","Species","Performance metric","ms_mod_ricker_OM__ss_run_M_dynamicTier3_EM_FALSEregen_TRUEcap","OM","EM","Cap","nsim"
"42","Arrowtooth flounder","OM: Average SSB Depletion",0.844815276810977,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"43","Arrowtooth flounder","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"44","Arrowtooth flounder","OM: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"45","Arrowtooth flounder","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"46","Arrowtooth flounder","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"47","Cod","Average Catch",18908.0154425846,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"48","Cod","Catch IAV",0.170503934226268,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"49","Cod","P(Closed)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"50","Cod","Avg SSB Relative MSE",0.506797954259137,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"51","Cod","Avg terminal SSB Relative MSE",0.11974110970054,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"52","Cod","EM: P(Fy > Flimit)",0.0143125,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"53","Cod","EM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"54","Cod","OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"55","Cod","OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"56","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.028625,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"57","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"58","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"59","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"60","Cod","OM: Terminal B",626735.968384672,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"61","Cod","OM: Terminal SSB",274275.870802979,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"62","Cod","OM: Terminal Dynamic SB0",391846.832954607,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"63","Cod","OM: Terminal SSB Depletion",274.550421224204,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"64","Cod","OM: Terminal SSB Depletion (Dynamic)",0.697070894470847,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"65","Cod","OM: Average SSB Depletion",0.713687377180139,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"66","Cod","OM no F: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"67","Cod","OM: SSB Collapse",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"68","Cod","OM: SSB Collapse from F",0,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
"69","Cod","OM: SSB Collapse FAIL",NA,"ms_mod_ricker_OM","ss_run_M_dynamicTier3_EM","TRUE",200
