"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",3840600.34176971
"2","Pollock","Catch IAV",392149.315116509
"3","Pollock","P(Closed)",0.00162790697674419
"4","Pollock","Avg terminal SSB Relative MSE",0.000646680708301444
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",7.75193798449612e-05
"7","Pollock","OM: P(Fy > Flimit)",0.00527131782945736
"8","Pollock","OM: P(SSB < SSBlimit)",0.000387596899224806
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.00527131782945736
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000310077519379845
"13","Pollock","OM: Terminal SSB Depletion",0.426457921751728
"14","Cod","Average Catch",142392.515467747
"15","Cod","Catch IAV",2882.35135495271
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.00049415792041265
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",7.75193798449612e-05
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.75193798449612e-05
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB Depletion",0.470178435414085
"27","Arrowtooth flounder","Average Catch",64650.5700088432
"28","Arrowtooth flounder","Catch IAV",733.526918739189
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000478503148424062
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB Depletion",0.584462943274113
