"","Species","Performance metric","MS_OM__SS_fixM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",233531.646607817
"2","Pollock","Catch IAV",21300.5949422998
"3","Pollock","P(Closed)",0.00468253968253968
"4","Pollock","Avg terminal SSB Relative MSE",0.022060986571453
"5","Pollock","EM: P(Fy > Flimit)",0.000158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0.00531746031746032
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.184285714285714
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000158730158730159
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.178968253968254
"13","Pollock","OM: Terminal SSB/SSBtarget",0.817510853251915
"14","Arrowtooth flounder","Average Catch",130385.096876152
"15","Arrowtooth flounder","Catch IAV",482.184627328426
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.163349575220973
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",NA
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.65421652102188
"27","Cod","Average Catch",26413.3297778863
"28","Cod","Catch IAV",11699.5458089421
"29","Cod","P(Closed)",0.0530952380952381
"30","Cod","Avg terminal SSB Relative MSE",0.030427085156059
"31","Cod","EM: P(Fy > Flimit)",0.0399206349206349
"32","Cod","EM: P(SSB < SSBlimit)",0.0582539682539683
"33","Cod","OM: P(Fy > Flimit)",0.000158730158730159
"34","Cod","OM: P(SSB < SSBlimit)",NA
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0397619047619048
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",NA
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",NA
"39","Cod","OM: Terminal SSB/SSBtarget",0.327934179566763
