"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_AllDown","SS_OM__SS_estM_dynamicTier3_EM_AllDown","SSM_OM__SS_fixM_dynamicTier3_EM_AllDown","SSM_OM__SS_estM_dynamicTier3_EM_AllDown","MS_OM__SS_fixM_dynamicTier3_EM_AllDown","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch","1,679,994","1,881,291","1,956,555","3,041,569","2,462,184","3,041,602"
"2","Pollock","Catch IAV","   64,483","  174,212","   53,491","  229,677","  105,789","  477,315"
"3","Pollock","P(Closed)","0","0","0","0","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0.04"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0","0.98","0","0.01","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.02"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0.04"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.98","0","0.01","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"13","Pollock","OM: Terminal SSB Depletion","0.4","0.33","0.61","0.4","1.05","0.84"
"14","Cod","Average Catch","  115,497","  118,118","  115,997","  114,416","  125,940","  129,520"
"15","Cod","Catch IAV","    2,040","    2,229","    1,943","    1,892","    2,433","    2,556"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0.01","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.01","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB Depletion","0.39","0.38","0.38","0.39","0.57","0.58"
"27","Arrowtooth flounder","Average Catch","   27,447","   28,169","   31,042","   38,999","   30,264","   31,610"
"28","Arrowtooth flounder","Catch IAV","      225","      274","      307","      665","      202","      243"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.04","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB Depletion","0.43","0.41","0.55","0.41","0.48","0.47"
