"","Species","Performance.metric","SS_OM__SS_fixM_Tier3_EM_ATFRup","SS_OM__SS_estM_Tier3_EM_ATFRup","SSM_OM__SS_fixM_Tier3_EM_ATFRup","SSM_OM__SS_estM_Tier3_EM_ATFRup","MS_OM__SS_fixM_Tier3_EM_ATFRup","MS_OM__SS_estM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch","2,091,930","2,349,883","2,456,389","3,840,600","2,793,160","3,457,920"
"2","Pollock","Catch IAV","   78,031","  288,490","   64,101","  392,149","  123,324","  502,682"
"3","Pollock","P(Closed)","0","0","0","0","0","0.01"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0.08","0","0","0.01"
"5","Pollock","EM: P(Fy > Flimit)","0","0.03","0","0","0","0.04"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"7","Pollock","OM: P(Fy > Flimit)","0","0.98","0","0.01","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0.04"
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.95","0","0.01","0","0"
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0.01"
"13","Pollock","OM: Terminal SSB/SSBtarget","0.41","0.34","0.61","0.41","1.73","1.39"
"14","Cod","Average Catch","  143,616","  146,823","  144,230","  142,393","  152,311","  157,708"
"15","Cod","Catch IAV","    3,100","    3,365","    2,998","    2,882","    3,545","    3,663"
"16","Cod","P(Closed)","0","0","0","0","0","0"
"17","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"18","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"19","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"20","Cod","OM: P(Fy > Flimit)","0","0.01","0","0","0","0"
"21","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0.01","0","0","0","0"
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"26","Cod","OM: Terminal SSB/SSBtarget","0.4","0.39","0.4","0.4","0.7","0.71"
"27","Arrowtooth flounder","Average Catch","   43,355","   44,613","   51,321","   64,651","   46,253","   48,741"
"28","Arrowtooth flounder","Catch IAV","      246","      288","      435","      734","      250","      282"
"29","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0"
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0","0"
"31","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0"
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"33","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0"
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)","0","0","0","0","0","0"
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)","0","0","0","0","0","0"
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)","0","0","0","0","0","0"
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)","0","0","0","0","0","0"
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget","0.57","0.55","0.73","0.56","0.41","0.4"
