"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",144040.701935531
"2","Pollock","Catch IAV",18748.8225577771
"3","Pollock","P(Closed)",0.00357142857142857
"4","Pollock","Avg terminal SSB Relative MSE",0.019641206415435
"5","Pollock","EM: P(Fy > Flimit)",0.00468253968253968
"6","Pollock","EM: P(SSB < SSBlimit)",0.00253968253968254
"7","Pollock","OM: P(Fy > Flimit)",0.298888888888889
"8","Pollock","OM: P(SSB < SSBlimit)",0.0465079365079365
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.294285714285714
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00714285714285714
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.139047619047619
"13","Pollock","OM: Terminal SSB/SSBtarget",0.369992805734261
"14","Arrowtooth flounder","Average Catch",130003.002129588
"15","Arrowtooth flounder","Catch IAV",496.012296640947
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.135599054121775
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.639271575338434
"27","Cod","Average Catch",20293.5902148574
"28","Cod","Catch IAV",12708.4490379324
"29","Cod","P(Closed)",0.0638888888888889
"30","Cod","Avg terminal SSB Relative MSE",0.154553634607562
"31","Cod","EM: P(Fy > Flimit)",0.101190476190476
"32","Cod","EM: P(SSB < SSBlimit)",0.0513756613756614
"33","Cod","OM: P(Fy > Flimit)",0.932380952380952
"34","Cod","OM: P(SSB < SSBlimit)",0.518174603174603
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.831190476190476
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0586507936507936
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1.45904761904762
"39","Cod","OM: Terminal SSB/SSBtarget",0.19563449452055
