"","Species","Performance metric","MS_OM__SS_estM_Fspr_EM_AllDown"
"1","Pollock","Average Catch",437900.039368594
"2","Pollock","Catch IAV",53995.5548739558
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0687406307589404
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.0345238095238095
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.612460317460317
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.577936507936508
"13","Pollock","OM: Terminal SSB/SSBtarget",0.586077782635637
"14","Arrowtooth flounder","Average Catch",95579.1187257094
"15","Arrowtooth flounder","Catch IAV",1536.47634585199
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0117769728045213
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.571592102930686
"27","Cod","Average Catch",18467.1330778651
"28","Cod","Catch IAV",2803.67167058553
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0169192045661256
"31","Cod","EM: P(Fy > Flimit)",0.0220634920634921
"32","Cod","EM: P(SSB < SSBlimit)",0.065
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0846825396825397
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0220634920634921
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00809523809523809
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0277777777777778
"39","Cod","OM: Terminal SSB/SSBtarget",0.638284753084454
